Species,Group,Functional.Group,delta,sigma,P50.Mpa,P12.Mpa,P88.Mpa
Populus trichocarpa,Angiosperm,Tree,-0.89128,0.77928,-1.28477,-0.69059,-1.68363
Salix gooddingii,Angiosperm,Tree,-1.57326,0.33916,-1.39,-1.43,-1.72
Populus fremontii,Angiosperm,Tree,-1.19806,0.36851,-1.39224,-0.54303,-1.99007
Populus deltoides,Angiosperm,Tree,-1.03276,0.65879,-1.17,-0.66333,-1.92
Betula occidentalis,Angiosperm,Tree,-0.9812,0.83159,-1.52954,-0.76867,-2.09525
Coleogyne ramosissima,Angiosperm,Shrub,-1.40895,0.95635,-1.29037,-0.45007,-2.58967
Quercus alba,Angiosperm,Tree,-1.34036,0.91817,-1.37,,-2.6
Tamarix ramosissima,Angiosperm,Shrub,-1.92976,0.49239,-1.1286,-0.19764,-2.85414
Pinus edulis,Gymnosperm,Conifer,-1.39528,0.52641,-4.9858,-3.53772,-5.00108
Rhus laurina,Angiosperm,Shrub,-0.98059,0.84266,-1.21528,-0.28518,-2.98234
Pinus ponderosa,Gymnosperm,Conifer,-1.07825,0.65449,-3.06624,-1.66222,-4.5205
Acer saccharum,Angiosperm,Tree,-1.08058,1.12701,-2.458,-1.5424,-3.59529
Pseudotsuga menziesii,Gymnosperm,Conifer,-1.60829,0.58219,-4.5678,-2.7924,-5.9369
Chrysothamnus nauseosus,Angiosperm,Shrub,-1.35686,0.81487,-2.9,-1.8,-3.9
Fagus sylvatica,Angiosperm,Tree,-1.773,0.68059,-3.08333,-2.43333,-3.9
Pinus nigra,Gymnosperm,Conifer,-0.86798,0.79163,-3.26667,-1.74803,-4.24697
Pinus flexilis,Gymnosperm,Conifer,-0.79267,0.86079,-4.1745,-3.21164,-4.21186
Quercus petraea,Angiosperm,Tree,-1.50727,0.82866,-3.5,-2.15,-4.25
Picea abies,Gymnosperm,Conifer,-1.20717,0.82826,-3.69678,-3.06718,-4.35704
Quercus pubescens,Angiosperm,Tree,-1.78146,0.8065,-2.5,-1.30667,-4.46667
Atriplex canescens,Angiosperm,Shrub,-1.6883,0.90011,-2.44326,-0.87589,-4.57098
Erica arborea,Angiosperm,Shrub,-0.81081,1.10704,-2.7,-1,-4.6
Eucalyptus gomphocephala,Angiosperm,Tree,-0.75678,0.96483,-2.483,-0.225,-4.625
Pinus sylvestris,Gymnosperm,Conifer,-0.74039,0.90719,-3.19071,-1.75624,-4.71017
Quercus ilex,Angiosperm,Tree,-1.64683,0.65151,-3.19167,-1.588,-4.94185
Rhamnus californica,Angiosperm,Shrub,-0.99925,0.83303,-2.01083,-0.80605,-4.93917
Pinus halepensis,Gymnosperm,Conifer,-1.09971,0.99812,-4.46044,-3.35037,-5.57052
Abies concolor,Gymnosperm,Conifer,-0.63095,1.1813,-5.03333,-3.249,-5.8255
Prosopis velutina,Angiosperm,Tree,-2.56092,0.60368,-1.97572,-0.53731,-5.93317
Juniperus osteosperma,Gymnosperm,Conifer,-1.23631,0.79465,-8.45986,-5.74593,-10.45249
Larrea tridentata,Angiosperm,Shrub,-1.84971,0.76874,-3.54174,-0.76593,-6.27098
Pistacia lentiscus,Angiosperm,Shrub,-1.42038,0.96363,-4.77708,-2.98435,-6.57982
Myrtus communis,Angiosperm,Shrub,-0.69832,1.21264,-4.54211,-2.65469,-6.92953
Ceanothus leucodermis,Angiosperm,Shrub,-0.86759,0.94088,-4.37301,-1.30492,-7.28308
Ceanothus spinosus,Angiosperm,Shrub,-1.03491,0.85879,-5.01804,-1.59487,-8.4044
Arbutus unedo,Angiosperm,Tree,-1.03735,0.90514,-3.36775,-2.16991,-7.36412
Juniperus communis,Gymnosperm,Conifer,-0.72375,1.08522,-5.82758,-3.73547,-7.8615
Ceanothus oliganthus,Angiosperm,Shrub,-1.16131,0.8988,-4.80117,-1.51027,-8.13275
Quercus frainetto,Angiosperm,Tree,-1.13866,0.95925,-4.56,-0.73,-8.38
Cistus albidus,Angiosperm,Shrub,-1.07109,0.9527,-5.78,-2.7013,-8.8587
Quercus coccifera,Angiosperm,Shrub,-1.17493,0.90184,-6.98,-3.84341,-10.01659
Rhamnus ilicifolia,Angiosperm,Shrub,-1.06505,0.90786,-6.06261,-2.11122,-10.69127
Rhamnus crocea,Angiosperm,Shrub,-1.00303,0.94133,-5.40047,-2.01586,-10.73732
Phillyrea latifolia,Angiosperm,Tree,-1.34209,0.89104,-6.775,-2.44633,-11.10367
Olea europaea,Angiosperm,Tree,-0.92073,1.03307,-4.98,-2.57,-11.68333
Ceanothus crassifolius,Angiosperm,Shrub,-0.74124,0.96277,-7.57609,-3.96708,-11.74741
Vitis vinifera,Angiosperm,Shrub,-0.87841,0.92573,-0.75,,
Ceanothus megacarpus,Angiosperm,Shrub,-0.99304,0.92939,-8.69308,-3.93613,-11.93237
Ceanothus cuneatus,Angiosperm,Shrub,-1.46319,1.09143,-7.99495,-2.74959,-12.63718
